Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
live-to-ride-air-cleaner-trim,Live To Ride Air Cleaner Trim - 61300220,"<p>""Live to Ride, Ride to Live."" It has become the motto of the Harley-Davidson® nation, accompanying riders over millions of miles of travel. This collection is a tribute to that way of life. This chrome, easy to install air cleaner insert shows the world that you live by the creed. Part of the ""Live to Ride"" collection Gold eagle with Live to Ride, Ride to Live script Includes chrome-plated stainless steel mounting hardware.</p>
<p> </p>
<p>Fitment: <span>Fits '16-later Softail® (except FLSTFBS and FXSE) and 14-'16 Touring and Trike models with Original Equipment air cleaner cover. Does not fit CVO™ models.</span></p>",Harley Davidson,Custom Accessories & Trim,"",true,Title,Default Title,,,,,'61300220,907,,1,deny,manual,50.95,59.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300220_TT-6928688.jpg?v=1506464424,1,,false,,,,,,,,,,,,,,,,,lb,
harley-davidson®-screamin-eagle®-performance-air-cleaner-kit-rail-collection-29400232a-2,Screamin' Eagle® Performance Air Cleaner Kit | Rail Collection - 29400232A,"<p>The look is bold and the performance exhilarating. This race-inspired air cleaner is engineered to flow through the perimeter and the face of the air filter, providing high volumes of unrestricted airflow to the engine. The open-design face plate features a rich black finish with machined longitudinal strakes to expose the glowing aluminum below.</p>
<ul>
<li>Includes air cleaner trim, one-piece cast back plate, high-flow washable air filter element, rain sock and all required hardware</li>
<li>Gloss Black finish</li>
</ul>
<p> </p>
<p>Fitment: <span>Fits '07-later XL models with Original Equipment throttle body. All EFI models require ECM calibration for proper installation. '17-later models require recalibration with Screamin' Eagle® Pro Street Tuner (sold separately).</span></p>",Harley Davidson,Parts,"",true,Title,Default Title,,,,,"",3629,shopify,1,deny,manual,254.96,299.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400232_OnBike_453008fd-753e-4748-b053-081eea1fb275.jpg?v=1506525819,1,Harley-Davidson® Screamin' Eagle® Performance Air Cleaner Kit | Rail Collection - 29400232A,false,,,,,,,,,,,,,,,,,lb,
harley-davidson®-screamin-eagle®-performance-air-cleaner-kit-rail-collection-29400232a-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400232_Main_fa597027-25c1-4615-88d2-340d165af838.jpg?v=1506525819,2,Harley-Davidson® Screamin' Eagle® Performance Air Cleaner Kit | Rail Collection - 29400232A,,,,,,,,,,,,,,,,,,,
screamin-eagle®-heavy-breather-performance-air-cleaner-29400263,SCREAMIN’ EAGLE® HEAVY BREATHER PERFORMANCE AIR CLEANER - 29400263,"<p>29400263 - Chrome</p>
<p>Take a deep breath. Designed in concert with the Milwaukee-<br>Eight® powertrain, the iconic Heavy Breather Air Cleaner<br>features a forward facing oiled cotton filter element that flows<br>large volumes of clean air into the engine. The short, lowprofile<br>cast tube rams the charge directly into the throttle body<br>with little turbulence for increased power and torque, and the<br>intake tube mounts to a custom back plate that features integral<br>breathers and covers the throttle body and electronics<br>for a finished look. The slanted compact filter adds an aggressive<br>performance look, and it is shaped to allow installation<br>on Touring bikes equipped with fairing lowers. Available in your<br>choice of chrome or gloss black finish, the kit includes filter,<br>intake tube, custom back plate, water-repellent rain sock and<br>all mounting hardware. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail®, and ’17-later Touring and Trike models.<br>Does not fit with Fairing Lower Speakers. All models require<br>ECM calibration with Screamin’ Eagle® Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO™ Touring<br>and 107CI Twin-Cooled™ models.</p>",Harley Davidson,Air Cleaner,"chrome, softail18, touring, trike",true,Title,Default Title,,,,,'29400263,2268,,1,deny,manual,339.96,399.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400263.jpg?v=1507133111,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-heavy-breather-performance-air-cleaner-29400263,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400263_2.png?v=1507134144,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle®-heavy-breather-performance-air-cleaner-29400264,SCREAMIN’ EAGLE® HEAVY BREATHER PERFORMANCE AIR CLEANER - 29400264,"<p>29400264 - Glossy Black</p>
<p>Take a deep breath. Designed in concert with the Milwaukee-<br>Eight® powertrain, the iconic Heavy Breather Air Cleaner<br>features a forward facing oiled cotton filter element that flows<br>large volumes of clean air into the engine. The short, lowprofile<br>cast tube rams the charge directly into the throttle body<br>with little turbulence for increased power and torque, and the<br>intake tube mounts to a custom back plate that features integral<br>breathers and covers the throttle body and electronics<br>for a finished look. The slanted compact filter adds an aggressive<br>performance look, and it is shaped to allow installation<br>on Touring bikes equipped with fairing lowers. Available in your<br>choice of chrome or gloss black finish, the kit includes filter,<br>intake tube, custom back plate, water-repellent rain sock and<br>all mounting hardware. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail®, and ’17-later Touring and Trike models.<br>Does not fit with Fairing Lower Speakers. All models require<br>ECM calibration with Screamin’ Eagle® Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO™ Touring<br>and 107CI Twin-Cooled™ models.</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'29400264,2268,,1,deny,manual,339.96,399.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400264.jpg?v=1507133938,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-heavy-breather-performance-air-cleaner-29400264,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400264_2.png?v=1507133992,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle-heavy-breather-billet-aluminum-filter-cover,SCREAMIN’ EAGLE HEAVY BREATHER BILLET ALUMINUM FILTER COVER,"<p>61300688 Gloss Black.</p>
<p>This two-piece billet cover adds dimension to your Milwaukee-<br>Eight Heavy Breather. Manufactured from forged aluminum<br>and precision machined to tightly wrap the element, this stylish<br>cover exposes a majority of the filter to maximize airflow.<br>The cover can be installed on Touring models equipped with<br>fairing lowers, and can be used with the Original Equipment<br>Heavy Breather Rain Sock. The cover features a deep<br>machined Screamin’ Eagle logo, and is available in a rich, gloss<br>black finish.</p>
<p>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Heavy Breather Air Cleaner P/N 29400263 or<br>29400264.</p>",Harley Davidson,Air Cleaner,"black, cover, softail18, touring, trike",true,Title,Default Title,,,,,'61300688,907,,1,deny,manual,169.96,199.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300688_grande_74eff897-1798-474c-abd2-069d32f5e12a.png?v=1507135046,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-ventilator-air-cleaner-kit-milwaukee-eight-29400299,SCREAMIN’ EAGLE® VENTILATOR AIR CLEANER KIT – MILWAUKEE-EIGHT - 29400299,"<p>29400299</p>
<p>This low-profile oval air cleaner features an exposed filter<br>element and a cast back plate designed to provide maximum<br>air flow to the throttle body. This easy-to-install air cleaner<br>produces significant performance gains, while the stylish<br>cover is tapered for added leg clearance. This complete kit<br>includes low-profile air cleaner cover, high-flow filter element,<br>cast aluminum back plate, diamond-cut Screamin’ Eagle®<br>medallion, and all required installation hardware. Protective<br>Rain Sock is included. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail®, and ’17-later Touring and Trike models.<br>All models require ECM calibration with Screamin’ Eagle Pro<br>Street Tuner for proper installation. ECE compliant on ’17-later</p>",Harley Davidson,Air Cleaner,"chrome, softail18, touring, trike",true,Title,Default Title,,,,,'29400299,2268,,1,deny,manual,254.96,299.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400299.jpg?v=1507136212,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-ventilator-air-cleaner-kit-milwaukee-eight-29400298,SCREAMIN’ EAGLE® VENTILATOR AIR CLEANER KIT – MILWAUKEE-EIGHT - 29400298,"<p>29400298 - Gloss Black</p>
<p>This low-profile oval air cleaner features an exposed filter<br>element and a cast back plate designed to provide maximum<br>air flow to the throttle body. This easy-to-install air cleaner<br>produces significant performance gains, while the stylish<br>cover is tapered for added leg clearance. This complete kit<br>includes low-profile air cleaner cover, high-flow filter element,<br>cast aluminum back plate, diamond-cut Screamin’ Eagle®<br>medallion, and all required installation hardware. Protective<br>Rain Sock is included. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail®, and ’17-later Touring and Trike models.<br>All models require ECM calibration with Screamin’ Eagle Pro<br>Street Tuner for proper installation. ECE compliant on ’17-later</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'29400298,2268,,1,deny,manual,254.96,299.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/VENTILATOR-AIR-CLEANER-KIT-MILWAUKEE-EIGHT-ENGINE-Gloss-Black-29400298.jpg?v=1507136352,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-ventilator-air-cleaner-kit-milwaukee-eight-29400298,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400298.png?v=1507136439,2,,,,,,,,,,,,,,,,,,,,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300768,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300768,"<p>61300768 - Chrome</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"chrome, softail18, touring, trike",true,Title,Default Title,,,,,"",2268,,1,deny,manual,114.71,134.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/DEFIANCE-COLLECTION-VENTILATOR-AIR-CLEANER-TRIM-Chrome-61300768.jpg?v=1507137242,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300769,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300769,"<p>61300769 - Gloss Black</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'61300769,2268,,1,deny,manual,114.71,134.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300769_-_2_grande_c47cbad5-0601-4da5-a1dc-b21132208b77.png?v=1507137365,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300770,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300770,"<p>61300770 - Gloss Black with Highlights</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'61300770,2722,,1,deny,manual,127.46,149.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300770_-_2_grande_1a061b3d-4632-4078-91b7-12ac7e06ebc4.png?v=1507137535,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300770,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/61300770_2.PNG?v=1507137669,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle®-wedge-high-flow-air-cleaner-29400246,SCREAMIN’ EAGLE® WEDGE HIGH-FLOW AIR CLEANER - 29400246,"<p>29400246 - Chrome</p>
<p>Screamin’ Eagle® High-Flow Air Cleaner Kits allow free breathing<br>and unobstructed airflow to your Milwaukee-Eight® engine<br>–while maintaining a subtle Original Equipment look. These kits<br>feature a die-cast back plate sized to provide an open-element<br>function that permits airflow around the entire perimeter of<br>the air cleaner and through the ram air opening at the front.<br>Your engine gets more air, and you feel more power throughout<br>the rev range. Kit includes the die-cast back plate, a high-flow<br>oiled-cotton filter element, all required installation gaskets<br>and hardware and a diamond-cut Screamin’ Eagle medallion<br>to finish the look. Kits are available with your choice of chrome<br>or textured black back plate to match your customizing style.<br>50-State U.S. EPA compliant.</p>
<p><br>Fits ’17-later Touring and Trike models. Not compatible with<br>air cleaner cover on CVO™ Touring models. All models require<br>ECM calibration with Screamin’ Eagle Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO Touring models</p>",Harley Davidson,Air Cleaner,"chrome, touring",true,Title,Default Title,,,,,'29400246,2268,,1,deny,manual,157.21,184.94,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400246_TT.jpg?v=1507138110,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-wedge-high-flow-air-cleaner-29400245,SCREAMIN’ EAGLE® WEDGE HIGH-FLOW AIR CLEANER - 29400245,"<p>29400245 - Black</p>
<p>Screamin’ Eagle® High-Flow Air Cleaner Kits allow free breathing<br>and unobstructed airflow to your Milwaukee-Eight® engine<br>–while maintaining a subtle Original Equipment look. These kits<br>feature a die-cast back plate sized to provide an open-element<br>function that permits airflow around the entire perimeter of<br>the air cleaner and through the ram air opening at the front.<br>Your engine gets more air, and you feel more power throughout<br>the rev range. Kit includes the die-cast back plate, a high-flow<br>oiled-cotton filter element, all required installation gaskets<br>and hardware and a diamond-cut Screamin’ Eagle medallion<br>to finish the look. Kits are available with your choice of chrome<br>or textured black back plate to match your customizing style.<br>50-State U.S. EPA compliant.</p>
<p><br>Fits ’17-later Touring and Trike models. Not compatible with<br>air cleaner cover on CVO™ Touring models. All models require<br>ECM calibration with Screamin’ Eagle Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO Touring models</p>",Harley Davidson,Air Cleaner,"black, touring",true,Title,Default Title,,,,,'29400245,2268,,1,deny,manual,148.71,174.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400245_TT.jpg?v=1507138583,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle-air-cleaner-medallion-milwaukee-eight,SCREAMIN’ EAGLE AIR CLEANER MEDALLION – MILWAUKEE-EIGHT - 61300762,"<p>Dress your factory air cleaner cover with a diamond cut<br>Screamin’ Eagle medallion. Lock patch holds the medallion<br>firmly in place and is easy to remove for access to the air<br>cleaner hardware.</p>
<p>Fits ’17-later Touring and Trike models equipped with Original<br>Equipment wedge air cleaner cover. Does not fit CVO models.</p>",Harley Davidson,Air Cleaner,"chrome, cover, touring",true,Title,Default Title,,,,,'61300762,1361,,1,deny,manual,16.96,19.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300762-1_2.jpg?v=1507139076,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle-air-cleaner-medallion-milwaukee-eight,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/61300762_3.jpg?v=1507139079,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle®-round-extreme-flow-air-cleaner-29400357,SCREAMIN’ EAGLE® ROUND EXTREME-FLOW AIR CLEANER - 29400357,"<p>29400357- Black</p>
<p>The open-face filter design of the Screamin’ Eagle® Extreme-<br>Flow Air Cleaner Kit provides 60% more filtered surface area<br>to flow 11% more air than a traditional perimeter high-flow<br>filter. When combined with the smooth radius die-cast back<br>plate, this open filter can feed a large displacement engine<br>with an unobstructed flow of clean air. While sized to fit behind<br>Original Equipment or accessory center-bolt air cleaner<br>covers, the deep open-face filter provides maximum air-flow<br>and style when paired with a matching open-face air cleaner<br>trim option. Kit includes the gloss-black finished die-cast<br>back plate, an open-face washable oiled-cotton filter element,<br>and all required installation gaskets and hardware. Optional<br>Rain Sock P/N 29400362 is available to protect the exposed<br>element in inclement weather. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail® and ’17-later Touring and Trike models.<br>’17-later Touring and Trike models require separate purchase<br>of accessory round air cleaner cover or trim. Not compatible<br>with air cleaner cover on CVO™ Touring models. All models<br>require ECM calibration with Screamin’ Eagle Pro Street<br>Tuner for proper installation.</p>",Harley Davidson,Air Cleaner,"black, round, softail18, touring",true,Title,Default Title,,,,,'29400357,2268,,1,deny,manual,169.96,199.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400357-2.jpg?v=1507139439,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-round-extreme-flow-air-cleaner-29400357,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400357_TT.jpg?v=1507139443,2,,,,,,,,,,,,,,,,,,,,
